lap,RIC,NOR,VET,RAI,GRO,GAS,PER,LEC,STR,MAG,ALB,KVY,HUL,VER,HAM,SAI,RUS,BOT,KUB,GIO
59,69.400,70.098,69.400,69.400,70.693,70.098,70.098,68.293,70.098,71.220,69.400,70.693,70.693,68.586,69.050,70.693,70.693,69.050,71.220,70.098
60,69.396,70.078,69.396,69.396,70.692,70.078,70.078,68.281,70.078,71.219,69.396,70.692,70.692,68.589,69.044,70.692,70.692,69.044,71.219,70.078
61,69.392,70.059,69.392,69.392,70.690,70.059,70.059,68.270,70.059,71.218,69.392,70.690,70.690,68.592,69.038,70.690,70.690,69.038,71.218,70.059
62,69.388,70.039,69.388,69.388,70.689,70.039,70.039,68.258,70.039,73.908,69.388,70.689,70.689,68.594,69.032,70.689,70.689,69.032,71.217,70.039
63,69.384,70.020,69.384,69.384,70.688,70.020,70.020,68.247,70.020,85.331,69.384,70.688,70.688,68.597,69.026,70.688,70.688,69.026,70.916,70.020
64,69.380,70.000,69.380,69.380,70.687,70.000,70.000,68.235,70.000,69.817,69.380,70.687,70.687,68.600,69.019,70.687,70.687,69.019,70.914,70.000
65,69.376,69.981,69.376,69.376,70.685,69.981,69.981,68.224,69.981,69.798,69.376,70.685,70.685,68.602,69.013,70.685,70.685,69.013,70.913,69.981
66,69.372,69.962,69.372,69.372,70.698,69.962,69.962,68.212,69.962,69.778,69.372,70.684,70.684,68.605,69.007,70.698,70.684,69.007,70.912,69.962
67,69.368,69.942,69.368,69.368,70.777,69.942,69.942,68.201,69.942,69.759,69.368,70.683,70.683,68.608,69.001,70.777,70.683,69.001,70.911,69.942
68,69.364,69.923,69.364,69.364,70.855,69.923,69.923,68.189,69.923,69.739,69.364,70.682,70.682,68.610,68.994,70.855,70.682,68.994,70.909,69.923
69,69.360,69.903,69.360,69.360,70.933,69.903,69.903,68.178,69.903,69.720,69.360,70.681,70.681,68.613,68.988,70.933,70.681,68.988,70.908,69.903
70,69.355,69.884,69.355,69.355,nan,69.884,69.884,68.166,69.884,nan,69.355,nan,nan,68.616,68.982,nan,nan,68.982,nan,69.884
71,nan,nan,nan,nan,nan,nan,nan,68.154,nan,nan,nan,nan,nan,68.618,68.976,nan,nan,68.976,nan,nan
